number,value,datetime_start,datetime_complete,duration,params_act,params_add_self_loops,params_bias,params_gnn_aggr,params_hidden_channels_log2,params_jk,params_num_layers,params_to_hetero_aggr,user_attrs_acc,user_attrs_aprc,user_attrs_auc,user_attrs_best_epoch,user_attrs_f1,user_attrs_learning_rate,user_attrs_loss,user_attrs_n_hidden,user_attrs_precision,user_attrs_recall,user_attrs_total_epochs,state
17,0.2966231107711792,2023-01-13 00:47:55.946258,2023-01-13 00:53:09.341331,0 days 00:05:13.395073,leaky_relu,False,False,min,7,last,7,mean,0.9258366823196411,0.2966231107711792,0.7709027528762817,535,0.4136291742324829,0.01,12.703216552734375,128,0.3645251393318176,0.4780219793319702,735,COMPLETE
20,0.28955090045928955,2023-01-13 00:54:12.481736,2023-01-13 00:55:30.343955,0 days 00:01:17.862219,leaky_relu,False,False,min,5,last,7,min,0.9277108311653137,0.28955090045928955,0.7706716060638428,383,0.28663596510887146,0.01,5.330437183380127,32,0.19150246679782867,0.569597065448761,583,COMPLETE
44,0.28689372539520264,2023-01-13 02:52:17.549079,2023-01-13 02:58:48.575764,0 days 00:06:31.026685,relu,False,True,min,7,none,8,mean,0.9277108311653137,0.28689372539520264,0.7635408043861389,623,0.2924482822418213,0.01,4.409389495849609,128,0.1983039826154709,0.5567765831947327,823,COMPLETE
21,0.25873327255249023,2023-01-13 00:55:30.367068,2023-01-13 01:01:38.936963,0 days 00:06:08.569895,leaky_relu,False,False,sum,8,last,6,min,0.9274430871009827,0.25873327255249023,0.7285698056221008,290,0.29411765933036804,0.01,8.530457496643066,256,0.20770393311977386,0.5036630034446716,490,COMPLETE
11,0.2533751130104065,2023-01-13 00:26:52.315630,2023-01-13 00:27:49.189167,0 days 00:00:56.873537,leaky_relu,False,False,sum,6,last,6,min,0.9278447031974792,0.2533751130104065,0.7401859760284424,194,0.29355743527412415,0.01,5.696220397949219,64,0.21146085858345032,0.47985348105430603,394,COMPLETE
28,0.24714700877666473,2023-01-13 01:24:38.930579,2023-01-13 01:25:58.735204,0 days 00:01:19.804625,leaky_relu,False,False,max,4,last,8,sum,0.9269076585769653,0.24714700877666473,0.7710831761360168,776,0.2607709765434265,0.01,2.5303969383239746,16,0.16428571939468384,0.6318681240081787,976,COMPLETE
35,0.23110896348953247,2023-01-13 02:09:14.916681,2023-01-13 02:10:56.150600,0 days 00:01:41.233919,relu,False,True,mean,7,none,5,max,0.9269076585769653,0.23110896348953247,0.7944566011428833,230,0.2730138599872589,0.01,1.670576572418213,128,0.16488955914974213,0.7930402755737305,430,COMPLETE
14,0.22676672041416168,2023-01-13 00:40:00.898419,2023-01-13 00:41:44.802319,0 days 00:01:43.903900,leaky_relu,False,False,max,6,last,6,min,0.9274430871009827,0.22676672041416168,0.7081000804901123,309,0.3105413019657135,0.01,13.426346778869629,64,0.25407925248146057,0.39926740527153015,509,COMPLETE
15,0.22650685906410217,2023-01-13 00:41:44.826176,2023-01-13 00:42:10.349305,0 days 00:00:25.523129,leaky_relu,False,False,sum,5,last,4,min,0.9255689382553101,0.22650685906410217,0.7562779784202576,223,0.31318366527557373,0.01,4.12681770324707,32,0.2283795177936554,0.4981684982776642,423,COMPLETE
33,0.21033328771591187,2023-01-13 01:55:21.317025,2023-01-13 02:05:07.473233,0 days 00:09:46.156208,leaky_relu,False,False,min,8,last,7,mean,0.9282463192939758,0.21033328771591187,0.6802351474761963,361,0.20171865820884705,0.01,8.330833435058594,256,0.1339339315891266,0.40842491388320923,561,COMPLETE
19,0.2058742642402649,2023-01-13 00:53:52.739754,2023-01-13 00:54:12.458021,0 days 00:00:19.718267,leaky_relu,False,False,min,7,last,1,min,0.9269076585769653,0.2058742642402649,0.7030330896377563,239,0.2225342094898224,0.01,1.5088845491409302,128,0.13764654099941254,0.5805860757827759,439,COMPLETE
27,0.1842113435268402,2023-01-13 01:23:05.908676,2023-01-13 01:24:38.906279,0 days 00:01:32.997603,leaky_relu,False,False,sum,6,last,7,mean,0.9269076585769653,0.1842113435268402,0.739032506942749,464,0.20882001519203186,0.01,0.8902164697647095,64,0.1200328841805458,0.8021978139877319,664,COMPLETE
